Statistic,none,action
Minimum Reward,4.375227040018217,4.388084042310908
Maximum Reward,4.721771969169277,4.675797669070448
Final Reward,4.702510875967308,4.652239236143451
Timestep at Maximum,96938.77551020408,77551.02040816327
Mean Reward,4.580737839028625,4.5517118865742825
Reward Standard Deviation,0.10403523922363497,0.08652232843417992
Median Reward,4.619312743880425,4.567476737178524
Reward Interquartile Range,0.17230254945063805,0.14712694130013304
Cumulative Reward,448.91230822480526,446.06776488427965
Area Under Reward Curve,458106.4982722852,455190.22683730663
Normalized Area Under Reward Curve,0.9702003850746778,0.9735028310748074
Coefficient of Variation Reward,0.022711458913286405,0.019008744531785055
Volatility,0.018477078374053286,0.01659242632046556
Steps to Threshold,0.0,0.0
Plateau Length,2.0,2.0
Reward Trend Slope,3.4164322268579553e-06,2.8590058487485413e-06
Reward Trend R Value,0.9577087313520669,0.9636691421362373
Reward Trend P Value,9.817092430906476e-54,7.689820802712673e-57
Reward Trend Standard Error,1.0476184588166434e-07,8.087670677322417e-08
ROC AUC,1.0,1.0
Minimum Entropy,4.009302234649658,4.009466171264648
Maximum Entropy,4.010206460952759,4.011414051055908
Mean Entropy,4.009788376944406,4.0104473512999865
Entropy Standard Deviation,0.00020508969455100592,0.0004998832653364487
Entropy Trend Slope,-5.5332968245336866e-09,-1.344274501411282e-08
Entropy Trend R Value,-0.7868305915599885,-0.7842607312375763
Entropy Trend P Value,7.760733732025145e-22,1.2914644652187496e-21
Entropy Trend Standard Error,4.4296686813577596e-10,1.0853895459596797e-09
